DATE,AAPL US Equity,GOOG US Equity,MSFT US Equity,IBM US Equity,GE US Equity,UKX Index,SPX Index,SPTSX Index,DJI Index,DAX Index
2000-01-03,3.6719,#N/A N/A,58.375,107.875,49.5846,6835.9,1469.25,8406.07,11497.12,6958.14
2000-01-04,3.9978,#N/A N/A,58.2813,116,48.0626,6930.2,1455.22,8413.75,11357.51,6750.76
2000-01-05,3.6607,#N/A N/A,56.3125,112.0625,46.1401,6665.9,1399.42,8202.6,10997.94,6586.95
2000-01-06,3.7143,#N/A N/A,56.9063,116,46.06,6535.9,1402.11,8119.42,11122.66,6502.07
2000-01-07,3.3929,#N/A N/A,55,114,46.6758,6447.2,1403.45,8114.24,11253.27,6474.92
2000-01-10,3.5536,#N/A N/A,55.7188,113.5,48.4831,6504.8,1441.47,8429.42,11522.56,6780.96
2000-01-11,3.4911,#N/A N/A,56.125,118,48.4631,6607.7,1457.6,8602.5,11572.2,6925.52
2000-01-12,3.3125,#N/A N/A,54.6875,119,48.5432,6518.9,1438.56,8442.61,11511.09,6891.25
2000-01-13,3.1138,#N/A N/A,52.9063,119.5,48.7034,6532.8,1432.25,8359.96,11551.11,6912.81
2000-01-14,3.4554,#N/A N/A,53.9063,118.25,49.2641,6531.5,1449.68,8417.94,11582.44,6955.98
2000-01-17,3.4554,#N/A N/A,53.9063,118.25,49.2641,6658.2,1449.68,8357.46,11582.44,7173.22
2000-01-18,3.5871,#N/A N/A,56.125,119.625,48.383,6669.5,1465.15,8479.27,11722.98,7258.9
2000-01-19,3.7121,#N/A N/A,57.6563,115.75,47.4217,6504.6,1455.14,8589.65,11560.73,7072.12
2000-01-20,3.8058,#N/A N/A,53.5,119.5,47.652,6445.4,1455.9,8635.07,11489.37,7091.04
2000-01-21,4.0536,#N/A N/A,53,119,46.7584,6348.7,1445.57,8682.93,11351.3,7112.66
2000-01-24,3.9754,#N/A N/A,51.875,121.5,46.1801,6346.3,1441.36,8634.5,11251.72,6992.75
2000-01-25,3.7946,#N/A N/A,50.625,121.5,44.2576,6379.8,1401.53,8458.75,11008.17,6931.99
2000-01-26,4.0089,#N/A N/A,51.4063,119.125,44.3778,6274.1,1410.03,8505.48,11029.89,6809.64
2000-01-27,3.9353,#N/A N/A,49.6875,116.75,45.319,6375.6,1404.09,8582.57,11032.99,6969.37
2000-01-28,3.9286,#N/A N/A,49.375,113.5,45.4191,6441,1398.56,8645.84,11028.03,7126.13
2000-01-31,3.6295,#N/A N/A,49.125,111.5625,42.9359,6375.6,1360.16,8390.4,10738.88,7066.6
2000-02-01,3.7054,#N/A N/A,48.9375,112.25,42.9359,6268.5,1394.46,8481.11,10940.54,6835.6
2000-02-02,3.5804,#N/A N/A,51.4688,110,43.5767,6290.9,1409.28,8535.26,11041.06,7050.46
2000-02-03,3.529,#N/A N/A,50.4063,113.5,42.9559,6302.8,1409.12,8769.5,11003.21,7171.95
2000-02-04,3.6897,#N/A N/A,51.8125,117.125,44.6181,6324.3,1424.97,8894.39,11013.45,7354.26
2000-02-07,3.8571,#N/A N/A,53.2813,115.625,45.3591,6185,1424.37,9209.2,10963.81,7444.61
2000-02-08,4.0737,#N/A N/A,53.3125,114.125,43.7369,6118.6,1424.24,9155.95,10905.79,7296.32
2000-02-09,4.1027,#N/A N/A,54.9688,118.8125,43.9172,6285.8,1441.72,9300.77,10957.61,7549.88
